,Metro area,Population,city,state,latitude,longitude
264,"Sebastian-Vero Beach, FL MSA",154383,Sebastian,FL,27.80627414,-80.47245026
265,"Niles-Benton Harbor, MI MSA",154259,Niles,MI,41.84832595,-86.24130249
266,"Chambersburg-Waynesboro, PA MSA",154234,Chambersburg,PA,39.93496739,-77.64381409
267,"Alexandria, LA MSA",153984,Alexandria,LA,31.28907237,-92.45956421
268,"Vineland-Bridgeton, NJ MSA",152538,Vineland,NJ,39.47909013,-75.0201416
269,"Bangor, ME MSA",151957,Bangor,ME,44.82953194,-68.78883362
270,"Decatur, AL MSA",151867,Decatur,AL,34.5772131,-86.97532654
271,"Grand Junction, CO MSA",151616,Grand Junction,CO,39.08046186,-108.5607147
272,"Jefferson City, MO MSA",151465,Jefferson City,MO,38.573757,-92.16293335
273,"Albany, GA MSA",151434,Albany,GA,31.57732418,-84.17449951
274,"Wichita Falls, TX MSA",151230,Wichita Falls,TX,33.91141159,-98.52264404
275,"Elizabethtown-Fort Knox, KY MSA",150430,Elizabethtown,KY,37.71803597,-85.86021423
276,"Texarkana, TX-AR MSA",150355,Texarkana,TX,33.44056687,-94.04846191
277,"Hanford-Corcoran, CA MSA",150101,Hanford,CA,36.31895383,-119.6459198
278,"Monroe, MI MSA",149649,Monroe,MI,41.92449277,-83.39481354
279,"Hattiesburg, MS MSA",148877,Hattiesburg,MS,31.29599016,-89.32022095
280,"Santa Fe, NM MSA",148750,Santa Fe,NM,35.66450492,-105.9926605
281,"Dothan, AL MSA",147914,Dothan,AL,31.22907893,-85.40634155
282,"Florence-Muscle Shoals, AL MSA",147038,Florence,AL,34.82732121,-87.64137268
283,"Rapid City, SD MSA",146850,Rapid City,SD,44.0821133,-103.2247925
284,"Rocky Mount, NC MSA",146738,Rocky Mount,NC,35.98462984,-77.81959534
285,"Homosassa Springs, FL MSA",145647,Homosassa Springs,FL,28.81455754,-82.5327301
286,"Idaho Falls, ID MSA",145643,Idaho Falls,ID,43.49273658,-112.0399475
287,"Valdosta, GA MSA",145437,Valdosta,GA,30.8467857,-83.27362061
288,"Dalton, GA MSA",144440,Dalton,GA,34.75567387,-84.97238159
289,"Wheeling, WV-OH MSA",141254,Wheeling,WV,40.08433032,-80.69114685
290,"Napa, CA MSA",140973,Napa,CA,38.30551908,-122.2929382
291,"Flagstaff, AZ MSA",140776,Flagstaff,AZ,35.19003991,-111.6389465
292,"Lebanon, PA MSA",139754,Lebanon,PA,40.33812478,-76.42158508
293,"Morgantown, WV MSA",138709,Morgantown,WV,39.63688231,-79.94888306
294,"Logan, UT-ID MSA",138002,Logan,UT,41.74594589,-111.8329239
295,"Winchester, VA-WV MSA",137887,Winchester,VA,39.1707842,-78.16806793
296,"La Crosse-Onalaska, WI-MN MSA",136934,La Crosse,WI,43.81763772,-91.2387085
297,"Wausau, WI MSA",135732,Wausau,WI,44.95600604,-89.64294434
298,"Springfield, OH MSA",134557,Springfield,OH,39.93444089,-83.81332397
299,"Harrisonburg, VA MSA",134442,Harrisonburg,VA,38.43636833,-78.8722229
300,"Battle Creek, MI MSA",134128,Battle Creek,MI,42.29961281,-85.18318176
301,"Johnstown, PA MSA",133054,Johnstown,PA,40.30619064,-78.8948822
302,"Hammond, LA MSA",132497,Hammond,LA,30.49659937,-90.4617691
303,"Bismarck, ND MSA",132142,Bismarck,ND,46.8070634,-100.7645416
304,"Jonesboro, AR MSA",131269,Jonesboro,AR,35.82654553,-90.66879272
305,"Sherman-Denison, TX MSA",131140,Sherman,TX,33.64830764,-96.60690308
306,"Jackson, TN MSA",129235,Jackson,TN,35.64944125,-88.82240295
307,"Lawton, OK MSA",127349,Lawton,OK,34.60038951,-98.41896057
308,"St. Joseph, MO-KS MSA",126935,St. Joseph,MO,39.76680753,-94.81887817
309,"Farmington, NM MSA",126926,Farmington,NM,36.74657624,-108.1806564
310,"Pittsfield, MA MSA",126313,Pittsfield,MA,42.45077528,-73.26026917
311,"Glens Falls, NY MSA",126152,Glens Falls,NY,43.31243583,-73.64479065
312,"Mount Vernon-Anacortes, WA MSA",125619,Mount Vernon,WA,48.42349349,-122.3269272
313,"Carbondale-Marion, IL MSA",125612,Carbondale,IL,37.7294414,-89.21001434
314,"The Villages, FL MSA",125165,The Villages,FL,28.90175694,-81.98547363
315,"Albany, OR MSA",125047,Albany,OR,44.62785128,-123.090477
316,"New Bern, NC MSA",124864,New Bern,NC,35.10076697,-77.06497192
317,"Sierra Vista-Douglas, AZ MSA",124756,Sierra Vista,AZ,31.54810175,-110.2749252
318,"Goldsboro, NC MSA",124172,Goldsboro,NC,35.38004929,-77.96104431
319,"Altoona, PA MSA",123457,Altoona,PA,40.49756881,-78.3984375
320,"Cleveland, TN MSA",122317,Cleveland,TN,35.16927445,-84.86526489
321,"Staunton-Waynesboro, VA MSA",121999,Staunton,VA,38.14804633,-79.06448364
322,"Lawrence, KS MSA",120793,Lawrence,KS,38.97324434,-95.25489807
323,"Mansfield, OH MSA",120589,Mansfield,OH,40.7305627,-82.54096985
324,"San Angelo, TX MSA",119535,San Angelo,TX,31.42159078,-100.4548645
325,"Beckley, WV MSA",118543,Beckley,WV,37.79268251,-81.19617462
326,"Wenatchee, WA MSA",118478,Wenatchee,WA,47.42807573,-120.3308487
327,"Owensboro, KY MSA",118376,Owensboro,KY,37.74678413,-87.10784912
328,"Weirton-Steubenville, WV-OH MSA",118250,Weirton,WV,40.40642643,-80.55690765
329,"Brunswick, GA MSA",118119,Brunswick,GA,31.20982412,-81.49520874
330,"Morristown, TN MSA",118081,Morristown,TN,36.21185918,-83.29936981
331,"Missoula, MT MSA",117441,Missoula,MT,46.87751408,-114.0133667
332,"Sheboygan, WI MSA",115344,Sheboygan,WI,43.74724285,-87.73338318
333,"Muncie, IN MSA",115184,Muncie,IN,40.20089239,-85.39981842
334,"Anniston-Oxford-Jacksonville, AL MSA",114728,Anniston,AL,33.67345439,-85.83000183
335,"Watertown-Fort Drum, NY MSA",114187,Watertown,NY,43.97229876,-75.90145111
336,"Williamsport, PA MSA",113841,Williamsport,PA,41.24398643,-77.00386047
337,"California-Lexington Park, MD MSA",112667,California,MD,38.30043387,-76.51016235
338,"Michigan City-La Porte, IN MSA",110029,Michigan City,IN,41.70110318,-86.88983917
339,"Kankakee, IL MSA",109605,Kankakee,IL,41.11323332,-87.86521912
340,"Lewiston-Auburn, ME MSA",107651,Lewiston,ME,44.09694355,-70.19199371
341,"Longview, WA MSA",106910,Longview,WA,46.142688,-122.9651642
342,"Sumter, SC MSA",106847,Sumter,SC,33.94559557,-80.40893555
343,"Decatur, IL MSA",105801,Decatur,IL,39.85910925,-88.93981934
344,"Ithaca, NY MSA",104802,Ithaca,NY,42.44498316,-76.49745941
345,"Bay City, MI MSA",104239,Bay City,MI,43.6020128,-83.90018463
346,"Lima, OH MSA",103198,Lima,OH,40.74252922,-84.12162781
347,"Sebring, FL MSA",102883,Sebring,FL,27.49361614,-81.45195007
348,"Gadsden, AL MSA",102755,Gadsden,AL,34.0005782,-85.99239349
349,"Fond du Lac, WI MSA",102548,Fond du Lac,WI,43.76261782,-88.43170166
